datum,Ostschweiz,Schweiz
2020-09-01,1.126324657454791,3.0516128364788977
2020-09-02,1.3130620708092355,3.19060445321648
2020-09-03,1.728668577570435,3.322715615300777
2020-09-04,1.9275535760722762,3.3486529185882596
2020-09-05,2.069283510097406,3.376350473019868
2020-09-06,2.2048722958072573,3.441339122277232
2020-09-07,2.3177566598100108,3.546091810340453
2020-09-08,2.395043920383684,3.669025006594489
2020-09-09,2.493970725013012,3.687946200376138
2020-09-10,2.5556073747769568,3.8945586408414306
2020-09-11,2.558728043585556,3.9902967712766597
2020-09-12,2.6192510537488536,4.032634458883924
2020-09-13,2.8770088893149977,4.126410122306434
2020-09-14,2.937221012458185,4.11389893834694
2020-09-15,3.0843100555474914,4.064379524034736
2020-09-16,3.1957318557170873,4.109961849678529
2020-09-17,3.55702753678021,4.132735082736688
2020-09-18,3.624468306191423,4.081595965858884
2020-09-19,3.632822525071958,4.19380094089264
2020-09-20,3.3324587864301387,4.145971995007849
2020-09-21,3.241535750062414,4.056313087848071
2020-09-22,3.066336626428954,4.0943410724358404
2020-09-23,2.8290907681157456,4.011788277225318
2020-09-24,2.715454404479382,3.9675362364470663
2020-09-25,2.6862310907127425,3.9903870606913308
2020-09-26,2.8766121925187482,4.0111891340358365
2020-09-27,3.202459177576518,4.238738302875469
2020-09-28,3.3577049378524597,4.503969888141723
2020-09-29,3.8183179442008917,4.798714500420522
2020-09-30,4.631889424754397,5.3312039746272175
2020-10-01,4.881240074105047,5.867257624336135
2020-10-02,5.737333721876177,6.419442016781828
2020-10-03,6.294024381105413,6.919184872681285
2020-10-04,6.957394987711205,7.45968388840961
2020-10-05,7.95506469389155,8.135506579748144
2020-10-06,8.590860947217683,8.83844766698515
2020-10-07,9.639712757658899,9.729477423535814
2020-10-08,10.71077080623856,10.664003133037074
2020-10-09,11.288662376995974,11.490264151733147
2020-10-10,12.291121970601711,12.370931043003116
2020-10-11,13.215152455707651,13.157150686918403
2020-10-12,13.938858531221452,13.891514635078485
2020-10-13,14.83663432193086,14.570984500691042
2020-10-14,15.81096804507975,15.15504615752979
2020-10-15,16.356841213431306,15.815980407522883
2020-10-16,17.471728602649943,16.741607804914477
2020-10-17,18.581485546576396,17.706987326220816
2020-10-18,19.500300876236718,18.75037562536691
2020-10-19,20.363066737901068,19.812334989625782
2020-10-20,21.08289619090488,20.916834148069427
2020-10-21,21.17632954835044,21.91249134679262
2020-10-22,22.026097064784626,22.95825514716677
2020-10-23,22.626036675574447,23.91637784360996
2020-10-24,23.237278698857956,24.809114766577355
2020-10-25,23.28463188794701,25.40783015813929
2020-10-26,23.66107741860853,25.887296582224888
2020-10-27,23.90711489513091,26.25114816537797
2020-10-28,24.470483973974506,26.56323822062347
2020-10-29,25.60982585855738,26.908535413248163
2020-10-30,25.619592565685544,26.97205207117029
2020-10-31,25.451499243818354,27.228922497955043
2020-11-01,25.997970201828966,27.409273139931592
2020-11-02,26.22276105544517,27.372001621178594
2020-11-03,26.174516969847925,27.263790716299138
2020-11-04,26.101668494289978,26.86311891425845
2020-11-05,25.29708160851951,26.651903208871456
2020-11-06,25.56306279421342,26.59809328489015
2020-11-07,25.959024332949348,26.214601496441684
2020-11-08,25.414200844046913,25.671683147647936
2020-11-09,24.904995934503628,25.220506872809697
2020-11-10,24.746226922596588,24.786910125401455
2020-11-11,24.5297033363861,24.526310506897083
2020-11-12,24.899785184732643,24.1521915214742
2020-11-13,24.675555153199923,23.742909883384073
2020-11-14,24.099617940208358,23.158882102889844
2020-11-15,24.361518544510712,22.818523535525518
2020-11-16,24.46722344309177,22.497448154534403
2020-11-17,24.371026578564795,21.95532479132175
2020-11-18,24.261402947203546,21.434969339368482
2020-11-19,23.58634232029701,20.749872046436963
2020-11-20,23.2555148841664,20.121894197101174
2020-11-21,22.786965566180413,19.474978469689727
2020-11-22,22.21422450328655,18.920584912585515
2020-11-23,21.966998396156875,18.42033656784739
2020-11-24,21.959320538439613,18.25938104165033
2020-11-25,21.84829626830106,18.02039870285005
2020-11-26,22.4858114624665,17.930212148461596
2020-11-27,22.324386901700766,18.001952542143197
2020-11-28,22.761970196945978,18.142489768974066
2020-11-29,23.048398971514242,18.182160461370646
2020-11-30,22.926172863315404,18.179352167416734
2020-12-01,23.107352962069445,18.113974573852754
2020-12-02,23.356973385145206,18.104477620917017
2020-12-03,22.69560048395802,18.01337886192875
2020-12-04,23.264403268382118,17.83097893033824
2020-12-05,23.287884489428556,17.632641751025563
