datum,NW,Schweiz
2020-06-15,0.0,0.4
2020-06-22,0.0,0.7
2020-06-29,0.0,1.1
2020-07-06,1.1,1.5
2020-07-13,1.5,2.0
2020-07-20,0.0,2.6
2020-07-27,0.8,3.5
2020-08-03,1.4,3.3
2020-08-10,0.0,4.1
2020-08-17,0.0,3.6
2020-08-24,0.9,3.1
2020-08-31,1.4,3.1
2020-09-07,0.7,3.6
2020-09-14,0.4,3.8
2020-09-21,1.8,3.7
2020-09-28,8.7,5.3
2020-10-05,12.6,10.0
2020-10-12,10.6,15.4
2020-10-19,16.0,22.6
2020-10-26,22.8,26.5
2020-11-02,25.1,26.5
2020-11-09,21.3,24.0
2020-11-16,17.1,20.8
2020-11-23,14.1,17.6
2020-11-30,19.7,17.8
2020-12-07,18.5,15.2
2020-12-14,13.8,12.8
2020-12-21,16.3,12.6
2020-12-28,22.8,16.7
2021-01-04,19.3,14.4
2021-01-11,14.4,11.5
2021-01-18,13.8,9.0
2021-01-25,6.7,7.5
2021-02-01,6.8,6.1
2021-02-08,6.4,4.7
2021-02-15,7.4,4.5
2021-02-22,3.8,4.8
2021-03-01,6.1,4.7
