datum,AR,Schweiz
2020-08-31,1.3,3.1
2020-09-07,3.3,3.6
2020-09-14,2.5,3.8
2020-09-21,2.0,3.7
2020-09-28,7.6,5.3
2020-10-05,10.4,10.0
2020-10-12,17.9,15.4
2020-10-19,23.5,22.6
2020-10-26,23.0,26.5
2020-11-02,23.6,26.5
2020-11-09,24.6,24.0
2020-11-16,22.2,20.8
2020-11-23,19.8,17.6
2020-11-30,18.2,17.8
2020-12-07,18.0,15.2
2020-12-14,16.7,12.8
2020-12-21,16.4,12.6
2020-12-28,22.8,16.7
2021-01-04,21.2,14.4
2021-01-11,15.8,11.5
2021-01-18,12.7,9.0
2021-01-25,10.4,7.5
2021-02-01,8.1,6.1
2021-02-08,5.0,4.7
2021-02-15,5.1,4.5
2021-02-22,4.4,4.9
2021-03-01,5.6,4.9
2021-03-08,7.0,5.1
2021-03-15,4.9,5.1
2021-03-22,6.2,5.5
2021-03-29,6.5,5.1
2021-04-05,6.2,7.6
2021-04-12,8.2,8.3
2021-04-19,11.7,8.6
2021-04-26,9.1,7.3
2021-05-03,7.6,6.5
2021-05-10,7.5,4.8
2021-05-17,7.8,4.1
2021-05-24,6.1,3.7
2021-05-31,4.3,2.5
2021-06-07,2.5,2.0
2021-06-14,2.4,1.1
2021-06-21,1.5,0.7
2021-06-28,1.2,0.7
2021-07-05,0.8,1.2
2021-07-12,0.9,2.3
2021-07-19,1.6,3.6
2021-07-26,1.9,4.3
2021-08-02,6.7,6.7
2021-08-09,11.2,11.5
2021-08-16,11.5,12.7
2021-08-23,13.5,10.8
2021-08-30,14.7,9.5
2021-09-06,17.3,8.9
2021-09-13,10.8,5.6
2021-09-20,9.0,4.2
2021-09-27,10.8,3.6
2021-10-04,9.6,3.3
2021-10-11,15.1,4.4
2021-10-18,23.4,6.0
2021-10-25,23.0,7.4
2021-11-01,26.2,9.6
2021-11-08,28.8,11.6
2021-11-15,31.6,14.5
2021-11-22,29.0,16.2
2021-11-29,32.8,17.1
2021-12-06,33.4,17.3
2021-12-13,27.1,16.2
2021-12-20,28.6,18.9
2021-12-27,37.0,30.7
2022-01-03,36.1,35.8
2022-01-10,37.4,36.2
2022-01-17,47.1,40.8
2022-01-24,48.2,40.2
2022-01-31,50.0,40.1
2022-02-07,50.8,37.7
2022-02-14,39.5,36.1
2022-02-21,60.7,39.8
2022-02-28,58.9,49.1
2022-03-07,58.4,52.0
2022-03-14,57.5,49.5
2022-03-21,49.1,43.8
2022-03-28,41.2,35.9
2022-04-04,30.2,32.0
2022-04-11,29.3,28.6
2022-04-18,34.7,27.3
2022-04-25,37.3,23.2
2022-05-02,39.4,20.2
2022-05-09,39.1,19.1
2022-05-16,29.5,16.1
2022-05-23,20.9,15.3
2022-05-30,33.0,22.9
2022-06-06,33.6,31.3
2022-06-13,49.4,39.1
2022-06-20,49.0,43.2
2022-06-27,50.7,45.5
2022-07-04,46.3,46.4
2022-07-11,49.5,46.2
2022-07-18,47.9,44.7
2022-07-25,52.5,39.3
2022-08-01,40.6,38.1
2022-08-08,43.4,36.5
2022-08-15,42.6,33.9
2022-08-22,46.9,32.1
2022-08-29,35.4,30.7
2022-09-05,33.3,29.3
2022-09-12,38.6,28.3
2022-09-19,39.8,29.2
2022-09-26,46.6,36.3
2022-10-03,57.3,42.9
2022-10-10,60.5,43.0
2022-10-17,51.9,39.8
2022-10-24,52.1,36.7
2022-10-31,42.0,34.1
2022-11-07,44.5,32.2
2022-11-14,37.6,32.5
2022-11-21,38.1,30.9
2022-11-28,34.6,30.0
2022-12-05,34.3,28.9
2022-12-12,23.7,25.0
2022-12-19,38.1,25.6
