datum,LU,Schweiz
2020-08-31,1.0,3.1
2020-09-07,1.1,3.6
2020-09-14,2.0,3.8
2020-09-21,1.5,3.7
2020-09-28,2.9,5.3
2020-10-05,7.9,10.0
2020-10-12,13.6,15.4
2020-10-19,18.6,22.6
2020-10-26,23.8,26.5
2020-11-02,22.9,26.5
2020-11-09,21.6,24.0
2020-11-16,21.5,20.8
2020-11-23,18.8,17.6
2020-11-30,18.7,17.8
2020-12-07,21.3,15.2
2020-12-14,17.1,12.8
2020-12-21,17.4,12.6
2020-12-28,21.7,16.7
2021-01-04,19.6,14.4
2021-01-11,17.1,11.5
2021-01-18,12.4,9.0
2021-01-25,8.5,7.5
2021-02-01,6.9,6.1
2021-02-08,5.3,4.7
2021-02-15,5.7,4.5
2021-02-22,6.4,4.9
2021-03-01,7.7,4.9
2021-03-08,8.9,5.1
2021-03-15,7.1,5.1
2021-03-22,6.6,5.5
2021-03-29,6.8,5.1
2021-04-05,12.2,7.6
2021-04-12,13.6,8.3
2021-04-19,13.8,8.6
2021-04-26,12.9,7.3
2021-05-03,11.8,6.5
2021-05-10,7.4,4.8
2021-05-17,6.9,4.1
2021-05-24,5.9,3.7
2021-05-31,4.0,2.5
2021-06-07,2.9,2.0
2021-06-14,1.1,1.1
2021-06-21,0.9,0.7
2021-06-28,1.8,0.7
2021-07-05,1.9,1.2
2021-07-12,4.4,2.3
2021-07-19,6.8,3.6
2021-07-26,5.5,4.3
2021-08-02,7.4,6.7
2021-08-09,12.5,11.5
2021-08-16,18.0,12.7
2021-08-23,15.2,10.8
2021-08-30,11.4,9.5
2021-09-06,10.4,8.9
2021-09-13,6.2,5.6
2021-09-20,4.7,4.2
2021-09-27,3.9,3.6
2021-10-04,4.5,3.3
2021-10-11,7.4,4.4
2021-10-18,8.1,6.1
2021-10-25,9.6,7.4
2021-11-01,13.0,9.6
2021-11-08,14.2,11.6
2021-11-15,17.6,14.5
2021-11-22,19.9,16.2
2021-11-29,21.3,17.1
2021-12-06,23.3,17.3
2021-12-13,21.7,16.2
2021-12-20,22.7,18.9
2021-12-27,30.0,30.7
2022-01-03,33.9,35.8
2022-01-10,39.9,36.2
2022-01-17,44.9,40.8
2022-01-24,46.4,40.2
2022-01-31,46.7,40.1
2022-02-07,48.4,37.7
