date,entries,Erstimpfungen 7-Tages-Schnitt
2020-12-22,0,
2020-12-23,5,
2020-12-24,2,
2020-12-25,0,10.29
2020-12-26,0,17.86
2020-12-27,0,26.57
2020-12-28,65,26.29
2020-12-29,53,26.43
2020-12-30,66,26.57
2020-12-31,0,26.57
2021-01-01,1,17.71
2021-01-02,1,78.0
2021-01-03,0,137.14
2021-01-04,3,236.14
2021-01-05,475,326.0
2021-01-06,480,357.0
2021-01-07,693,357.0
2021-01-08,630,428.57
2021-01-09,218,477.86
2021-01-10,0,509.29
2021-01-11,504,509.57
2021-01-12,820,485.29
2021-01-13,700,486.57
2021-01-14,695,486.71
2021-01-15,460,536.29
2021-01-16,227,550.14
2021-01-17,1,650.57
2021-01-18,851,800.86
2021-01-19,917,905.86
2021-01-20,1403,893.14
2021-01-21,1747,893.29
2021-01-22,1195,946.57
2021-01-23,138,1032.57
2021-01-24,2,974.57
2021-01-25,1224,931.57
2021-01-26,1519,827.14
2021-01-27,997,807.43
2021-01-28,1446,807.14
2021-01-29,464,718.0
2021-01-30,0,682.29
2021-01-31,0,759.14
2021-02-01,600,724.57
2021-02-02,1269,840.71
2021-02-03,1535,847.29
2021-02-04,1204,847.71
2021-02-05,1277,854.86
2021-02-06,46,824.29
2021-02-07,3,784.29
2021-02-08,650,764.71
2021-02-09,1055,718.29
2021-02-10,1255,720.57
2021-02-11,1067,720.14
2021-02-12,952,765.71
2021-02-13,62,742.0
2021-02-14,0,681.14
2021-02-15,969,615.43
2021-02-16,889,593.57
2021-02-17,829,750.43
2021-02-18,607,750.43
2021-02-19,799,747.14
2021-02-20,1160,790.71
2021-02-21,0,899.57
2021-02-22,946,1065.57
2021-02-23,1194,1193.86
2021-02-24,1591,1162.86
2021-02-25,1769,1163.14
2021-02-26,1697,1234.71
2021-02-27,943,1261.43
2021-02-28,2,1246.29
2021-03-01,1447,1216.0
2021-03-02,1381,1212.29
2021-03-03,1485,1119.43
2021-03-04,1557,1119.71
2021-03-05,1671,1143.29
2021-03-06,293,1231.86
2021-03-07,4,1296.14
2021-03-08,1612,1301.86
2021-03-09,2001,1245.0
2021-03-10,1935,1248.29
2021-03-11,1597,1247.71
2021-03-12,1273,1145.71
2021-03-13,316,997.57
2021-03-14,0,844.71
2021-03-15,898,776.57
2021-03-16,964,735.0
2021-03-17,865,752.29
2021-03-18,1120,752.29
2021-03-19,982,814.43
2021-03-20,437,947.71
2021-03-21,0,1031.86
2021-03-22,1333,1074.57
2021-03-23,1897,1141.86
2021-03-24,1454,1138.14
2021-03-25,1419,1147.14
2021-03-26,1453,1201.71
2021-03-27,411,1236.43
2021-03-28,63,1321.86
2021-03-29,1715,1402.29
2021-03-30,2140,1258.57
2021-03-31,2052,1367.86
2021-04-01,1982,1358.86
2021-04-02,447,1208.71
2021-04-03,1176,1184.43
2021-04-04,0,1209.86
2021-04-05,664,1325.14
2021-04-06,1970,1644.0
2021-04-07,2230,1695.57
2021-04-08,2789,1748.71
2021-04-09,2679,2009.43
2021-04-10,1537,2134.29
2021-04-11,372,2285.43
2021-04-12,2489,2464.57
2021-04-13,2844,2517.71
2021-04-14,3288,2507.29
2021-04-15,4043,2679.14
2021-04-16,3051,2787.29
2021-04-17,1464,2859.0
2021-04-18,1575,2968.43
2021-04-19,3246,3020.71
2021-04-20,3346,3147.43
2021-04-21,4054,3134.57
2021-04-22,4409,3142.14
2021-04-23,3938,3023.57
2021-04-24,1374,2878.57
2021-04-25,1628,2663.0
2021-04-26,2416,2404.86
2021-04-27,2331,2320.71
2021-04-28,2545,2239.43
2021-04-29,2602,2246.43
2021-04-30,3349,2559.71
2021-05-01,805,2808.43
2021-05-02,1677,3046.86
2021-05-03,4609,3276.0
2021-05-04,4072,3319.14
2021-05-05,4214,3398.57
2021-05-06,4206,3343.14
2021-05-07,3651,3177.71
2021-05-08,1361,3073.86
2021-05-09,1289,2987.57
2021-05-10,3451,2615.57
2021-05-11,3345,2459.43
2021-05-12,3610,2583.71
2021-05-13,1602,2640.29
2021-05-14,2558,2476.14
2021-05-15,2231,2437.71
2021-05-16,1685,2406.29
2021-05-17,2302,2633.57
2021-05-18,3076,2726.57
2021-05-19,3390,2757.71
2021-05-20,3193,2605.14
2021-05-21,3209,2676.57
2021-05-22,2449,2706.43
2021-05-23,617,2868.86
2021-05-24,2802,3065.71
2021-05-25,3285,3204.43
2021-05-26,4527,3321.0
2021-05-27,4571,3532.14
2021-05-28,4180,3676.29
2021-05-29,3265,3794.86
2021-05-30,2095,3774.29
2021-05-31,3811,3797.57
2021-06-01,4115,3802.29
2021-06-02,4383,3893.71
2021-06-03,4734,3897.43
2021-06-04,4213,4017.14
2021-06-05,3905,4154.71
2021-06-06,2121,4298.43
2021-06-07,4649,4522.86
2021-06-08,5078,4693.71
2021-06-09,5389,4641.43
2021-06-10,6305,4594.14
2021-06-11,5409,4635.86
2021-06-12,3539,4565.14
2021-06-13,1790,4465.57
2021-06-14,4941,4230.29
2021-06-15,4583,4028.29
2021-06-16,4692,3809.57
2021-06-17,4658,3728.57
2021-06-18,3995,3416.43
2021-06-19,2008,3131.57
2021-06-20,1223,2823.29
2021-06-21,2756,2533.14
2021-06-22,2589,2305.86
2021-06-23,2534,2173.57
2021-06-24,2627,2035.29
2021-06-25,2404,1958.0
2021-06-26,1082,1901.14
2021-06-27,255,1842.0
2021-06-28,2215,1696.14
2021-06-29,2191,1477.14
2021-06-30,2120,1423.71
2021-07-01,1606,1398.29
2021-07-02,871,1211.43
2021-07-03,708,1049.86
2021-07-04,77,897.29
2021-07-05,907,810.86
2021-07-06,1060,845.0
2021-07-07,1052,818.86
2021-07-08,1001,814.0
2021-07-09,1110,783.57
2021-07-10,525,785.0
2021-07-11,43,789.71
2021-07-12,694,790.43
2021-07-13,1070,795.0
2021-07-14,1085,788.29
2021-07-15,1006,786.86
2021-07-16,1142,824.29
2021-07-17,478,777.43
2021-07-18,33,765.57
2021-07-19,956,721.86
2021-07-20,742,676.0
2021-07-21,1002,679.57
2021-07-22,700,683.57
2021-07-23,821,689.86
