date,entries,Erstimpfungen 7-Tages-Schnitt
2020-12-22,0,
2020-12-23,5,
2020-12-24,3,
2020-12-25,0,10.43
2020-12-26,0,18.0
2020-12-27,0,26.71
2020-12-28,65,26.29
2020-12-29,53,26.43
2020-12-30,66,26.57
2020-12-31,0,26.57
2021-01-01,1,17.71
2021-01-02,1,78.0
2021-01-03,0,137.14
2021-01-04,3,236.14
2021-01-05,475,326.0
2021-01-06,480,357.0
2021-01-07,693,357.0
2021-01-08,630,428.71
2021-01-09,218,478.0
2021-01-10,0,509.43
2021-01-11,505,509.71
2021-01-12,820,485.43
2021-01-13,700,486.71
2021-01-14,695,486.86
2021-01-15,460,536.29
2021-01-16,227,550.14
2021-01-17,1,650.71
2021-01-18,851,801.0
2021-01-19,917,906.0
2021-01-20,1404,893.29
2021-01-21,1747,893.43
2021-01-22,1195,946.71
2021-01-23,138,1032.71
2021-01-24,2,974.57
2021-01-25,1224,931.57
2021-01-26,1519,827.14
2021-01-27,997,807.43
2021-01-28,1446,807.14
2021-01-29,464,718.0
2021-01-30,0,682.29
2021-01-31,0,759.29
2021-02-01,600,724.71
2021-02-02,1269,840.86
2021-02-03,1536,847.43
2021-02-04,1204,847.86
2021-02-05,1277,855.14
2021-02-06,46,824.57
2021-02-07,3,784.57
2021-02-08,651,765.0
2021-02-09,1055,718.57
2021-02-10,1256,721.0
2021-02-11,1067,720.57
2021-02-12,952,766.0
2021-02-13,63,742.29
2021-02-14,0,681.29
2021-02-15,969,615.57
2021-02-16,889,593.71
2021-02-17,829,750.57
2021-02-18,607,750.57
2021-02-19,799,747.29
2021-02-20,1161,790.86
2021-02-21,0,899.71
2021-02-22,946,1065.71
2021-02-23,1194,1194.0
2021-02-24,1591,1162.86
2021-02-25,1769,1163.14
2021-02-26,1697,1234.71
2021-02-27,943,1261.43
2021-02-28,2,1246.29
2021-03-01,1447,1216.0
2021-03-02,1381,1212.43
2021-03-03,1485,1119.57
2021-03-04,1557,1119.86
2021-03-05,1672,1143.43
2021-03-06,293,1232.0
2021-03-07,4,1296.29
2021-03-08,1612,1302.0
2021-03-09,2001,1245.0
2021-03-10,1935,1248.29
2021-03-11,1597,1247.71
2021-03-12,1273,1145.71
2021-03-13,316,997.71
2021-03-14,0,844.86
2021-03-15,898,776.71
2021-03-16,965,735.14
2021-03-17,865,752.43
2021-03-18,1120,752.43
2021-03-19,982,814.57
2021-03-20,437,947.57
2021-03-21,0,1031.71
2021-03-22,1333,1074.43
2021-03-23,1896,1141.71
2021-03-24,1454,1138.0
2021-03-25,1419,1147.0
2021-03-26,1453,1201.57
2021-03-27,411,1236.43
2021-03-28,63,1321.86
2021-03-29,1715,1402.29
2021-03-30,2140,1258.57
2021-03-31,2052,1367.86
2021-04-01,1982,1358.86
2021-04-02,447,1208.71
2021-04-03,1176,1184.43
2021-04-04,0,1209.86
2021-04-05,664,1325.14
2021-04-06,1970,1644.0
2021-04-07,2230,1695.57
2021-04-08,2789,1748.71
2021-04-09,2679,2009.43
2021-04-10,1537,2134.29
2021-04-11,372,2285.43
2021-04-12,2489,2464.57
2021-04-13,2844,2517.71
2021-04-14,3288,2507.29
2021-04-15,4043,2679.14
2021-04-16,3051,2787.57
2021-04-17,1464,2859.14
2021-04-18,1575,2968.71
2021-04-19,3248,3020.86
2021-04-20,3345,3147.57
2021-04-21,4055,3134.71
2021-04-22,4408,3142.29
2021-04-23,3938,3023.71
2021-04-24,1374,2878.86
2021-04-25,1628,2663.14
2021-04-26,2418,2405.43
2021-04-27,2331,2321.43
2021-04-28,2545,2240.29
2021-04-29,2604,2247.29
2021-04-30,3350,2560.29
2021-05-01,806,2809.0
2021-05-02,1677,3047.57
2021-05-03,4609,3277.71
2021-05-04,4072,3320.71
2021-05-05,4215,3400.0
2021-05-06,4215,3344.86
2021-05-07,3651,3179.57
2021-05-08,1361,3076.14
2021-05-09,1291,2989.71
2021-05-10,3452,2616.43
2021-05-11,3348,2460.29
2021-05-12,3610,2584.57
2021-05-13,1602,2640.86
2021-05-14,2558,2476.71
2021-05-15,2231,2437.86
2021-05-16,1685,2406.43
2021-05-17,2303,2633.71
2021-05-18,3076,2727.0
2021-05-19,3390,2758.14
2021-05-20,3193,2605.57
2021-05-21,3211,2677.0
2021-05-22,2449,2706.86
2021-05-23,617,2869.29
2021-05-24,2803,3066.86
2021-05-25,3285,3205.29
2021-05-26,4527,3321.86
2021-05-27,4576,3533.0
2021-05-28,4180,3677.14
2021-05-29,3265,3795.71
2021-05-30,2095,3775.29
2021-05-31,3812,3798.0
2021-06-01,4115,3802.86
2021-06-02,4384,3894.57
2021-06-03,4735,3898.29
2021-06-04,4214,4017.86
2021-06-05,3907,4155.43
2021-06-06,2121,4299.14
2021-06-07,4649,4523.86
2021-06-08,5078,4694.71
2021-06-09,5390,4642.29
2021-06-10,6308,4595.0
2021-06-11,5410,4636.86
2021-06-12,3540,4566.14
2021-06-13,1790,4466.57
2021-06-14,4942,4230.86
2021-06-15,4583,4029.14
2021-06-16,4693,3810.43
2021-06-17,4658,3729.43
2021-06-18,3998,3417.29
2021-06-19,2009,3132.57
2021-06-20,1223,2824.57
2021-06-21,2757,2534.43
2021-06-22,2590,2306.86
2021-06-23,2537,2174.57
2021-06-24,2627,2036.43
2021-06-25,2405,1959.0
2021-06-26,1083,1902.14
2021-06-27,256,1842.57
2021-06-28,2215,1696.86
2021-06-29,2192,1477.71
2021-06-30,2120,1424.14
2021-07-01,1607,1398.57
2021-07-02,871,1211.71
2021-07-03,708,1050.0
2021-07-04,77,897.43
2021-07-05,907,811.14
2021-07-06,1060,845.43
2021-07-07,1052,819.29
2021-07-08,1003,814.43
2021-07-09,1111,784.0
2021-07-10,525,785.43
2021-07-11,43,790.14
2021-07-12,694,790.57
2021-07-13,1070,795.14
2021-07-14,1085,788.43
2021-07-15,1006,787.0
2021-07-16,1143,824.57
2021-07-17,478,777.71
2021-07-18,33,766.0
2021-07-19,957,722.29
2021-07-20,742,676.29
2021-07-21,1003,679.86
2021-07-22,700,683.86
2021-07-23,821,690.0
