date,entries,Erstimpfungen 7-Tages-Schnitt
2020-12-21,1,
2020-12-22,2,
2020-12-23,403,
2020-12-24,264,158.14
2020-12-25,1,386.0
2020-12-26,436,623.43
2020-12-27,0,803.14
2020-12-28,1596,801.43
2020-12-29,1664,802.57
2020-12-30,1661,740.86
2020-12-31,252,741.29
2021-01-01,9,1032.43
2021-01-02,4,1808.71
2021-01-03,3,2380.57
2021-01-04,3634,3353.0
2021-01-05,7098,4477.0
2021-01-06,5664,4782.57
2021-01-07,7059,4786.86
2021-01-08,7877,5300.86
2021-01-09,2143,5753.0
2021-01-10,33,6492.0
2021-01-11,7232,6968.57
2021-01-12,10263,7344.71
2021-01-13,10837,7658.71
2021-01-14,10395,7748.57
2021-01-15,10510,8339.71
2021-01-16,4341,9219.29
2021-01-17,662,10436.71
2021-01-18,11370,12147.14
2021-01-19,16420,13374.71
2021-01-20,19359,13568.29
2021-01-21,22368,13640.71
2021-01-22,19103,14258.14
2021-01-23,5696,15073.29
2021-01-24,1169,15479.0
2021-01-25,15692,15683.29
2021-01-26,22126,15922.71
2021-01-27,22199,15887.71
2021-01-28,23798,15932.86
2021-01-29,20779,15387.43
2021-01-30,5451,14169.71
2021-01-31,1485,12954.86
2021-02-01,11874,11464.0
2021-02-02,13602,10254.71
2021-02-03,13695,9735.43
2021-02-04,13362,9655.14
2021-02-05,12314,9362.71
2021-02-06,1816,9444.0
2021-02-07,923,9812.71
2021-02-08,9827,10176.71
2021-02-09,14171,10684.0
2021-02-10,16276,10908.29
2021-02-11,15910,10896.0
2021-02-12,15865,10888.43
2021-02-13,3386,10645.86
2021-02-14,837,9809.86
2021-02-15,9774,9195.86
2021-02-16,12473,8296.0
2021-02-17,10424,8199.57
2021-02-18,11612,8195.71
2021-02-19,9566,7790.57
2021-02-20,2711,7382.86
2021-02-21,810,7297.71
2021-02-22,6938,7059.57
2021-02-23,9619,6881.14
2021-02-24,9828,6806.71
2021-02-25,9945,6778.86
2021-02-26,8317,7268.0
2021-02-27,2190,7488.29
2021-02-28,615,8304.86
2021-03-01,10362,9347.86
2021-03-02,11161,10235.29
2021-03-03,15544,10404.14
2021-03-04,17246,10463.57
2021-03-05,14529,10810.57
2021-03-06,3372,11677.0
2021-03-07,1031,12119.14
2021-03-08,12791,12365.14
2021-03-09,17226,12549.43
2021-03-10,18639,12606.0
2021-03-11,18968,12596.29
2021-03-12,15819,12302.0
2021-03-13,3768,11966.57
2021-03-14,963,11502.43
2021-03-15,10731,11193.0
2021-03-16,14878,11021.57
2021-03-17,15390,10966.43
2021-03-18,16802,10964.43
2021-03-19,14619,11357.0
2021-03-20,3382,11833.71
2021-03-21,949,12615.86
2021-03-22,13479,13801.0
2021-03-23,18215,15021.0
2021-03-24,20865,15617.57
2021-03-25,25098,15892.0
2021-03-26,23159,16915.57
