date,nicht/teilw. geimpft,vollständig geimpft
2021-01-31,1.7,0.0
2021-02-07,1.8,0.0
2021-02-14,1.4,0.0
2021-02-21,1.2,0.0
2021-02-28,1.1,0.0
2021-03-07,1.7,0.0
2021-03-14,2.0,0.0
2021-03-21,2.5,1.0
2021-03-28,2.8,0.0
2021-04-04,3.3,0.0
2021-04-11,3.4,0.0
2021-04-18,3.5,0.6
2021-04-25,3.6,0.0
2021-05-02,3.4,0.4
2021-05-09,2.4,0.4
2021-05-16,2.1,0.7
2021-05-23,2.2,0.0
2021-05-30,1.2,0.0
2021-06-06,1.2,0.1
2021-06-13,0.8,0.2
2021-06-20,0.4,0.2
2021-06-27,0.3,0.0
2021-07-04,0.2,0.0
2021-07-11,0.4,0.0
2021-07-18,0.8,0.0
2021-07-25,1.0,0.1
2021-08-01,1.6,0.0
2021-08-08,2.6,0.0
2021-08-15,6.0,0.2
2021-08-22,8.2,0.3
2021-08-29,6.9,0.1
2021-09-05,5.8,0.1
