date,entries,Erstimpfungen 7-Tages-Schnitt
2020-12-21,0,
2020-12-22,2,
2020-12-23,77,
2020-12-24,179,92.0
2020-12-25,0,146.29
2020-12-26,386,168.29
2020-12-27,0,162.71
2020-12-28,380,137.14
2020-12-29,156,137.14
2020-12-30,38,82.0
2020-12-31,0,82.0
2021-01-01,0,27.71
2021-01-02,0,94.71
2021-01-03,0,142.43
2021-01-04,0,251.71
2021-01-05,625,416.14
2021-01-06,372,460.57
2021-01-07,765,460.57
2021-01-08,1151,551.71
2021-01-09,311,596.86
2021-01-10,0,630.14
2021-01-11,638,587.14
2021-01-12,941,508.71
2021-01-13,605,543.29
2021-01-14,464,543.43
2021-01-15,602,462.86
2021-01-16,553,381.71
2021-01-17,1,389.86
2021-01-18,74,467.86
2021-01-19,373,537.57
2021-01-20,662,585.0
2021-01-21,1010,585.29
2021-01-22,1090,708.29
2021-01-23,885,870.29
2021-01-24,3,900.29
2021-01-25,935,886.71
2021-01-26,1507,901.57
2021-01-27,872,896.29
2021-01-28,915,896.0
2021-01-29,1194,811.86
2021-01-30,848,632.43
2021-01-31,1,509.43
2021-02-01,346,382.71
2021-02-02,251,218.14
2021-02-03,11,97.14
2021-02-04,28,97.71
2021-02-05,42,74.43
2021-02-06,1,107.14
2021-02-07,5,130.86
2021-02-08,183,135.0
2021-02-09,480,153.14
2021-02-10,177,155.0
2021-02-11,57,154.43
2021-02-12,169,130.71
2021-02-13,14,92.57
2021-02-14,1,111.14
2021-02-15,17,170.14
2021-02-16,213,248.71
2021-02-17,307,253.57
2021-02-18,470,253.57
2021-02-19,719,285.43
2021-02-20,48,303.86
2021-02-21,1,303.86
2021-02-22,240,374.57
2021-02-23,342,288.71
2021-02-24,307,285.86
2021-02-25,965,286.0
2021-02-26,118,289.86
2021-02-27,28,320.86
2021-02-28,2,524.86
2021-03-01,267,553.29
2021-03-02,559,699.43
2021-03-03,1735,799.29
2021-03-04,1164,799.71
2021-03-05,1141,791.71
2021-03-06,727,872.14
2021-03-07,5,769.14
2021-03-08,211,759.43
2021-03-09,1122,729.86
2021-03-10,1014,722.14
2021-03-11,1096,721.57
2021-03-12,934,721.86
2021-03-13,673,667.29
2021-03-14,1,629.71
2021-03-15,213,574.14
2021-03-16,740,547.86
2021-03-17,751,543.86
2021-03-18,707,543.71
2021-03-19,750,666.0
2021-03-20,645,721.86
2021-03-21,0,789.14
2021-03-22,1069,858.43
2021-03-23,1131,920.86
2021-03-24,1222,969.29
2021-03-25,1192,971.71
2021-03-26,1187,945.57
2021-03-27,984,993.29
2021-03-28,17,937.0
2021-03-29,886,839.71
2021-03-30,1465,680.14
2021-03-31,828,548.71
2021-04-01,511,546.29
2021-04-02,70,420.0
2021-04-03,64,299.14
2021-04-04,0,321.71
2021-04-05,2,388.14
2021-04-06,619,519.71
2021-04-07,986,618.43
