date,geboostert,vollst. geimpft,nicht vollst. geimpft
2021-07-04,,0.2,0.0
2021-07-11,,0.0,1.8
2021-07-18,,0.4,3.9
2021-07-25,,0.8,4.9
2021-08-01,,0.7,9.0
2021-08-08,,0.9,10.5
2021-08-15,,1.6,22.4
2021-08-22,,2.4,28.0
2021-08-29,,2.4,33.1
2021-09-05,,2.5,31.2
2021-09-12,,2.6,23.0
2021-09-19,,2.5,24.5
2021-09-26,,2.0,25.9
2021-10-03,,1.8,17.1
2021-10-10,,2.5,17.9
2021-10-17,,2.5,17.2
2021-10-24,,3.4,17.0
2021-10-31,,3.8,27.4
2021-11-07,,5.2,32.0
2021-11-14,,6.9,43.4
2021-11-21,,10.4,73.0
2021-11-28,,12.9,89.2
2021-12-05,7.9,17.0,104.7
2021-12-12,7.0,20.4,104.4
2021-12-19,5.8,15.6,119.3
2021-12-26,7.4,19.9,106.1
2022-01-02,7.9,18.4,103.3
2022-01-09,7.6,26.0,100.6
2022-01-16,7.4,25.9,85.4
2022-01-23,7.7,30.4,82.2
2022-01-30,10.5,31.1,89.1
2022-02-06,10.1,35.8,89.3
2022-02-13,10.1,26.9,84.2
2022-02-20,10.5,25.1,68.1
2022-02-27,10.8,18.1,55.2
2022-03-06,13.8,27.6,76.2
2022-03-13,18.0,29.5,77.2
2022-03-20,18.4,30.3,89.9
2022-03-27,17.7,26.4,65.5
2022-04-03,15.5,19.0,51.5
2022-04-10,9.8,16.7,40.6
2022-04-17,7.8,12.4,28.0
2022-04-24,6.7,8.0,20.5
2022-05-01,3.4,2.1,10.5
