date,geboostert,vollst. geimpft,nicht vollst. geimpft
2021-07-04,,0.2,0.0
2021-07-11,,0.0,1.8
2021-07-18,,0.4,3.9
2021-07-25,,0.8,5.0
2021-08-01,,0.6,9.1
2021-08-08,,0.9,10.3
2021-08-15,,1.6,22.5
2021-08-22,,2.4,28.4
2021-08-29,,2.4,33.3
2021-09-05,,2.5,30.8
2021-09-12,,2.6,23.1
2021-09-19,,2.5,24.6
2021-09-26,,2.0,26.0
2021-10-03,,1.9,16.9
2021-10-10,,2.5,17.9
2021-10-17,,2.4,16.9
2021-10-24,,3.3,17.1
2021-10-31,,3.8,27.5
2021-11-07,,5.2,32.1
2021-11-14,,6.8,43.2
2021-11-21,,10.4,72.9
2021-11-28,,12.7,88.4
2021-12-05,7.8,16.8,103.6
2021-12-12,6.9,19.5,101.8
2021-12-19,5.7,14.9,116.7
2021-12-26,6.8,18.5,101.8
2022-01-02,7.3,17.0,100.1
2022-01-09,6.3,20.3,90.3
2022-01-16,3.9,17.2,71.1
