date,geboostert,vollst. geimpft,nicht vollst. geimpft
2021-07-04,,0.2,0.0
2021-07-11,,0.0,1.8
2021-07-18,,0.4,3.9
2021-07-25,,0.8,4.9
2021-08-01,,0.7,9.0
2021-08-08,,0.9,10.5
2021-08-15,,1.5,22.7
2021-08-22,,2.4,28.0
2021-08-29,,2.2,33.1
2021-09-05,,2.2,30.9
2021-09-12,,2.5,23.1
2021-09-19,,2.5,24.3
2021-09-26,,2.0,25.9
2021-10-03,,1.6,17.1
2021-10-10,,2.5,17.9
2021-10-17,,2.3,16.5
2021-10-24,,3.3,17.0
2021-10-31,,3.5,26.7
2021-11-07,,5.0,32.0
2021-11-14,,6.5,43.4
2021-11-21,,10.1,72.6
2021-11-28,,12.4,88.4
2021-12-05,7.4,16.4,104.7
2021-12-12,6.5,19.9,103.3
2021-12-19,5.5,15.0,118.6
2021-12-26,7.3,19.4,105.3
2022-01-02,7.7,17.7,103.3
2022-01-09,7.6,25.0,100.2
2022-01-16,7.1,24.3,85.5
2022-01-23,7.4,29.3,81.3
2022-01-30,10.1,30.2,88.3
2022-02-06,9.9,35.3,89.8
2022-02-13,9.7,26.7,85.1
2022-02-20,10.4,24.9,69.0
2022-02-27,10.6,17.8,55.7
2022-03-06,13.8,26.8,76.7
2022-03-13,18.1,30.1,78.9
2022-03-20,18.3,30.4,90.8
2022-03-27,17.8,27.1,67.7
2022-04-03,15.7,19.6,56.4
2022-04-10,10.3,18.0,41.5
2022-04-17,8.3,14.2,28.9
2022-04-24,7.5,9.5,23.6
2022-05-01,5.5,3.0,14.9
2022-05-08,4.3,4.2,10.9
2022-05-15,4.0,5.1,10.9
2022-05-22,3.3,4.5,7.4
2022-05-29,2.5,5.4,6.1
2022-06-05,4.1,4.8,7.4
2022-06-12,5.5,5.8,8.8
2022-06-19,8.2,10.9,15.3
2022-06-26,8.4,10.6,15.3
2022-07-03,11.4,12.2,27.2
2022-07-10,12.1,12.6,22.8
2022-07-17,10.3,14.2,24.6
2022-07-24,9.1,8.4,19.3
2022-07-31,8.0,4.4,19.3
2022-08-07,5.6,6.6,15.4
2022-08-14,3.9,6.0,8.3
2022-08-21,4.5,6.4,8.3
2022-08-28,4.0,3.9,7.9
2022-09-04,3.8,3.2,6.6
2022-09-11,3.9,4.8,8.8
2022-09-18,2.1,3.9,7.9
2022-09-25,3.4,4.9,11.9
2022-10-02,3.4,5.8,13.6
2022-10-09,2.0,1.6,9.7
