date,entries,Erstimpfungen 7-Tages-Schnitt
2020-12-22,0,
2020-12-23,0,
2020-12-24,0,
2020-12-25,0,1.14
2020-12-26,0,17.0
2020-12-27,0,21.43
2020-12-28,8,21.43
2020-12-29,111,21.43
2020-12-30,31,21.43
2020-12-31,0,21.43
2021-01-01,0,116.86
2021-01-02,0,166.14
2021-01-03,0,259.29
2021-01-04,676,335.14
2021-01-05,456,407.57
2021-01-06,683,508.71
2021-01-07,531,508.71
2021-01-08,507,504.57
2021-01-09,708,539.43
2021-01-10,0,543.0
2021-01-11,647,565.71
2021-01-12,700,557.14
2021-01-13,708,573.57
2021-01-14,690,573.57
2021-01-15,447,587.43
2021-01-16,823,606.86
2021-01-17,0,585.0
2021-01-18,744,566.43
2021-01-19,836,573.86
2021-01-20,555,567.86
2021-01-21,560,567.86
2021-01-22,499,530.0
2021-01-23,781,480.0
2021-01-24,0,465.86
2021-01-25,479,453.29
2021-01-26,486,435.71
2021-01-27,456,324.14
2021-01-28,472,324.14
2021-01-29,376,275.57
2021-01-30,0,226.86
2021-01-31,0,180.43
2021-02-01,139,132.71
2021-02-02,145,98.43
2021-02-03,131,120.86
2021-02-04,138,121.14
2021-02-05,136,144.57
2021-02-06,157,169.43
2021-02-07,2,199.29
2021-02-08,303,213.71
2021-02-09,319,232.29
2021-02-10,340,263.71
2021-02-11,239,263.43
2021-02-12,266,269.43
2021-02-13,377,275.71
2021-02-14,0,248.29
2021-02-15,345,236.57
2021-02-16,363,206.71
2021-02-17,148,159.43
2021-02-18,157,159.43
2021-02-19,57,114.14
2021-02-20,46,100.29
2021-02-21,0,89.0
2021-02-22,28,80.57
2021-02-23,266,87.71
2021-02-24,69,85.29
2021-02-25,98,85.29
2021-02-26,107,133.57
2021-02-27,29,193.29
2021-02-28,0,273.71
2021-03-01,366,357.71
2021-03-02,684,415.57
2021-03-03,632,423.86
2021-03-04,686,423.86
2021-03-05,512,423.14
2021-03-06,87,379.43
2021-03-07,0,345.43
2021-03-08,361,316.57
2021-03-09,378,311.43
2021-03-10,394,304.29
2021-03-11,484,304.29
2021-03-12,476,317.43
