Land ^aktualisiert^,Impfungen pro 100 Menschen,Impfstoffe
:mt: Malta ^22.07.2021^,166.85,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:ae: Vereinigte Arabische Emirate ^20.07.2021^,166.27,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinopharm/Wuhan, Sputnik V"
:sc: Seychellen ^22.07.2021^,143.82,"Oxford/AstraZeneca, Sinopharm/Beijing"
:is: Island ^23.07.2021^,137.26,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:uy: Uruguay ^23.07.2021^,134.08,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac"
:nr: Nauru ^20.07.2021^,133.63,Oxford/AstraZeneca
:sm: San Marino ^22.07.2021^,133.2,"Pfizer/BioNTech, Sputnik V"
:bh: Bahrain ^23.07.2021^,132.98,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
:cl: Chile ^20.07.2021^,130.81,"CanSino, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac"
:il: Israel ^23.07.2021^,127.64,"Moderna, Pfizer/BioNTech"
:qa: Katar ^23.07.2021^,126.21,"Moderna, Pfizer/BioNTech"
:ca: Kanada ^23.07.2021^,124.9,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:mn: Mongolei ^23.07.2021^,123.46,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
:gb: Vereinigtes Königreich ^22.07.2021^,122.62,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:sg: Singapur ^22.07.2021^,119.28,"Moderna, Pfizer/BioNTech, Sinovac"
:dk: Dänemark ^22.07.2021^,118.59,"Johnson&Johnson, Moderna, Pfizer/BioNTech"
:be: Belgien ^22.07.2021^,116.24,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:es: Spanien ^22.07.2021^,114.32,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:nl: Niederlande ^23.07.2021^,112.6,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:pt: Portugal ^23.07.2021^,111.76,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:ie: Irland ^22.07.2021^,110.12,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:lu: Luxemburg ^22.07.2021^,107.7,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:mv: Malediven ^21.07.2021^,107.54,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
