Land ^aktualisiert^,Impfungen pro 100 Menschen,Impfstoffe
:il: Israel ^12.01.2021^,21.42,Pfizer/BioNTech
:ae: Vereinigte Arabische Emirate ^11.01.2021^,11.8,Sinopharm
:bh: Bahrain ^11.01.2021^,5.44,"Pfizer/BioNTech, Sinopharm"
:gb: Vereinigtes Königreich ^11.01.2021^,3.94,"Oxford/AstraZeneca, Pfizer/BioNTech"
:us: Vereinigte Staaten ^11.01.2021^,2.72,"Moderna, Pfizer/BioNTech"
:dk: Dänemark ^11.01.2021^,2.02,Pfizer/BioNTech
:is: Island ^30.12.2020^,1.43,Pfizer/BioNTech
:it: Italien ^11.01.2021^,1.19,Pfizer/BioNTech
:si: Slowenien ^11.01.2021^,1.08,Pfizer/BioNTech
:ca: Kanada ^11.01.2021^,0.95,"Moderna, Pfizer/BioNTech"
:ee: Estland ^12.01.2021^,0.9,Pfizer/BioNTech
:es: Spanien ^11.01.2021^,0.87,Pfizer/BioNTech
:lt: Litauen ^10.01.2021^,0.83,Pfizer/BioNTech
:de: Deutschland ^11.01.2021^,0.82,Pfizer/BioNTech
:hu: Ungarn ^12.01.2021^,0.81,Pfizer/BioNTech
:se: Schweden ^10.01.2021^,0.78,Pfizer/BioNTech
:hr: Kroatien ^09.01.2021^,0.73,Pfizer/BioNTech
:ie: Irland ^11.01.2021^,0.71,Pfizer/BioNTech
:cy: Zypern ^10.01.2021^,0.69,Pfizer/BioNTech
:pt: Portugal ^08.01.2021^,0.69,Pfizer/BioNTech
:pl: Polen ^12.01.2021^,0.68,Pfizer/BioNTech
:ro: Rumänien ^11.01.2021^,0.65,Pfizer/BioNTech
:cn: Volksrepublik China ^09.01.2021^,0.63,"CNBG, Sinovac"
:sk: Slowakei ^11.01.2021^,0.58,Pfizer/BioNTech
:ru: Russland ^02.01.2021^,0.55,Sputnik V
:sa: Saudi-Arabien ^11.01.2021^,0.51,Pfizer/BioNTech
:gr: Griechenland ^11.01.2021^,0.48,Pfizer/BioNTech
:lv: Lettland ^11.01.2021^,0.44,Pfizer/BioNTech
:no: Norwegen ^11.01.2021^,0.39,Pfizer/BioNTech
:om: Oman ^12.01.2021^,0.36,Pfizer/BioNTech
:at: Österreich ^08.01.2021^,0.33,Pfizer/BioNTech
:fi: Finnland ^12.01.2021^,0.32,Pfizer/BioNTech
:mt: Malta ^03.01.2021^,0.32,Pfizer/BioNTech
:ar: Argentinien ^08.01.2021^,0.24,Sputnik V
:nl: Niederlande ^11.01.2021^,0.21,Pfizer/BioNTech
:fr: Frankreich ^11.01.2021^,0.21,Pfizer/BioNTech
:bg: Bulgarien ^12.01.2021^,0.2,Pfizer/BioNTech
:lu: Luxemburg ^30.12.2020^,0.19,Pfizer/BioNTech
:cz: Tschechien ^06.01.2021^,0.19,Pfizer/BioNTech
:cr: Costa Rica ^08.01.2021^,0.19,Pfizer/BioNTech
:rs: Serbien ^10.01.2021^,0.14,Pfizer/BioNTech
:mx: Mexiko ^11.01.2021^,0.07,Pfizer/BioNTech
:be: Belgien ^07.01.2021^,0.07,Pfizer/BioNTech
:kw: Kuwait ^28.12.2020^,0.06,Pfizer/BioNTech
:cl: Chile ^06.01.2021^,0.06,Pfizer/BioNTech
:gn: Guinea ^30.12.2020^,0.0,Sputnik V
