Datum,Fälle,7-Tages-Durchschnitt,baseline
2020-02-24,0,,0
2020-02-25,0,,0
2020-02-26,0,,0
2020-02-27,0,0.0,0
2020-02-28,0,0.14,0
2020-02-29,0,0.14,0
2020-03-01,0,0.14,0
2020-03-02,1,0.14,0
2020-03-03,0,0.57,0
2020-03-04,0,0.57,0
2020-03-05,0,0.71,0
2020-03-06,3,1.71,0
2020-03-07,0,1.86,0
2020-03-08,1,3.0,0
2020-03-09,8,4.14,0
2020-03-10,1,5.0,0
2020-03-11,8,6.0,0
2020-03-12,8,6.29,0
2020-03-13,9,9.14,0
2020-03-14,7,13.14,0
2020-03-15,3,15.86,0
2020-03-16,28,17.57,0
2020-03-17,29,21.86,0
2020-03-18,27,22.14,0
2020-03-19,20,23.29,0
2020-03-20,39,26.29,0
2020-03-21,9,26.29,0
2020-03-22,11,26.71,0
2020-03-23,49,28.29,0
2020-03-24,29,27.71,0
2020-03-25,30,27.57,0
2020-03-26,31,26.29,0
2020-03-27,35,24.57,0
2020-03-28,8,25.57,0
2020-03-29,2,24.43,0
2020-03-30,37,23.14,0
2020-03-31,36,22.71,0
2020-04-01,22,22.86,0
2020-04-02,22,23.43,0
2020-04-03,32,23.29,0
2020-04-04,9,21.57,0
2020-04-05,6,20.29,0
2020-04-06,36,18.86,0
2020-04-07,24,14.71,0
2020-04-08,13,14.57,0
2020-04-09,12,14.71,0
2020-04-10,3,10.43,0
2020-04-11,8,8.29,0
2020-04-12,7,7.86,0
2020-04-13,6,7.14,0
2020-04-14,9,8.43,0
2020-04-15,10,7.71,0
2020-04-16,7,7.14,0
2020-04-17,12,8.0,0
2020-04-18,3,8.57,0
2020-04-19,3,7.57,0
2020-04-20,12,7.43,0
2020-04-21,13,7.0,0
2020-04-22,3,7.29,0
2020-04-23,6,6.86,0
2020-04-24,9,5.86,0
2020-04-25,5,4.57,0
2020-04-26,0,5.0,0
2020-04-27,5,4.43,0
2020-04-28,4,3.29,0
2020-04-29,6,2.57,0
2020-04-30,2,2.57,0
2020-05-01,1,2.14,0
2020-05-02,0,1.71,0
2020-05-03,0,1.29,0
2020-05-04,2,1.0,0
2020-05-05,1,1.14,0
2020-05-06,3,1.14,0
2020-05-07,0,1.14,0
2020-05-08,2,1.0,0
2020-05-09,0,0.86,0
2020-05-10,0,0.57,0
2020-05-11,1,0.57,0
2020-05-12,0,0.29,0
2020-05-13,1,0.43,0
2020-05-14,0,0.43,0
2020-05-15,0,0.43,0
2020-05-16,1,0.43,0
2020-05-17,0,0.29,0
2020-05-18,1,0.29,0
2020-05-19,0,0.29,0
2020-05-20,0,0.14,0
2020-05-21,0,0.14,0
2020-05-22,0,0.0,0
2020-05-23,0,0.0,0
2020-05-24,0,0.0,0
2020-05-25,0,0.14,0
2020-05-26,0,0.14,0
2020-05-27,0,0.14,0
2020-05-28,1,0.14,0
