datum_neu,Antigen-Schnelltest,PCR (herkömmlich)
01.02.2021,4186.0,8439.0
01.03.2021,3914.0,6291.0
01.11.2021,4985.0,8606.0
02.08.2021,5322.0,3425.0
02.11.2020,184.0,13149.0
03.05.2021,4201.0,6617.0
04.01.2021,3707.0,8260.0
04.10.2021,10548.0,5348.0
05.04.2021,5336.0,9125.0
05.07.2021,9457.0,5156.0
06.09.2021,7498.0,8798.0
06.12.2021,7222.0,21387.0
07.06.2021,4829.0,4473.0
07.12.2020,3615.0,11426.0
08.02.2021,3297.0,7304.0
08.03.2021,4314.0,7358.0
08.11.2021,5054.0,10591.0
09.08.2021,6087.0,4674.0
09.11.2020,825.0,10554.0
10.05.2021,4009.0,6705.0
11.01.2021,3194.0,7440.0
11.10.2021,5211.0,4712.0
12.04.2021,4308.0,7619.0
12.07.2021,9248.0,4762.0
13.09.2021,10473.0,7024.0
13.12.2021,7404.0,17848.0
14.06.2021,5273.0,3927.0
14.12.2020,4399.0,12494.0
15.02.2021,3012.0,6296.0
15.03.2021,5500.0,8671.0
15.11.2021,5480.0,13835.0
16.08.2021,6022.0,6739.0
16.11.2020,1624.0,9666.0
17.05.2021,5153.0,7047.0
18.01.2021,3516.0,8049.0
18.10.2021,4842.0,5542.0
19.04.2021,4214.0,6315.0
19.07.2021,8423.0,4172.0
20.09.2021,11069.0,6360.0
21.06.2021,5091.0,3295.0
21.12.2020,4256.0,10457.0
22.02.2021,3109.0,5725.0
22.03.2021,6586.0,9569.0
22.11.2021,6157.0,16886.0
23.08.2021,7039.0,7995.0
23.11.2020,2661.0,9793.0
24.05.2021,3894.0,5512.0
25.01.2021,3734.0,8013.0
25.10.2021,4643.0,5876.0
26.04.2021,4351.0,6337.0
26.07.2021,5662.0,3098.0
27.09.2021,11702.0,7205.0
28.06.2021,9484.0,5279.0
28.12.2020,3366.0,7374.0
29.03.2021,6749.0,8829.0
29.11.2021,6333.0,21072.0
30.08.2021,7748.0,8998.0
30.11.2020,3133.0,10185.0
31.05.2021,4503.0,5612.0
