datum_neu,Antigen-Schnelltest,PCR (herkömmlich)
01.02.2021,4186.0,8439.0
01.03.2021,3914.0,6291.0
02.08.2021,5323.0,3426.0
02.11.2020,184.0,13149.0
03.05.2021,4201.0,6617.0
04.01.2021,3707.0,8260.0
05.04.2021,5336.0,9125.0
05.07.2021,9457.0,5156.0
06.09.2021,7309.0,8792.0
07.06.2021,4829.0,4469.0
07.12.2020,3615.0,11426.0
08.02.2021,3297.0,7304.0
08.03.2021,4314.0,7357.0
09.08.2021,6085.0,4675.0
09.11.2020,825.0,10554.0
10.05.2021,4009.0,6705.0
11.01.2021,3194.0,7440.0
12.04.2021,4308.0,7619.0
12.07.2021,9246.0,4762.0
14.06.2021,5271.0,3927.0
14.12.2020,4399.0,12494.0
15.02.2021,3012.0,6296.0
15.03.2021,5500.0,8670.0
16.08.2021,6021.0,6738.0
16.11.2020,1624.0,9665.0
17.05.2021,5152.0,7047.0
18.01.2021,3516.0,8049.0
19.04.2021,4214.0,6315.0
19.07.2021,8424.0,4171.0
21.06.2021,5092.0,3295.0
21.12.2020,4256.0,10457.0
22.02.2021,3109.0,5725.0
22.03.2021,6586.0,9569.0
23.08.2021,7036.0,7995.0
23.11.2020,2661.0,9793.0
24.05.2021,3894.0,5512.0
25.01.2021,3734.0,8014.0
26.04.2021,4351.0,6337.0
26.07.2021,5662.0,3098.0
28.06.2021,9492.0,5279.0
28.12.2020,3366.0,7374.0
29.03.2021,6749.0,8829.0
30.08.2021,7736.0,9001.0
30.11.2020,3133.0,10185.0
31.05.2021,4502.0,5612.0
