endend,Todesfälle,untGrenze,obeGrenze
2020-01-05,9.0,0.0,14.0
2020-01-12,6.0,0.0,14.0
2020-01-19,6.0,0.0,14.0
2020-01-26,7.0,0.0,14.0
2020-02-02,9.0,0.0,14.0
2020-02-09,3.0,0.0,13.0
2020-02-16,3.0,0.0,13.0
2020-02-23,9.0,0.0,13.0
2020-03-01,5.0,0.0,13.0
2020-03-08,7.0,0.0,13.0
2020-03-15,6.0,0.0,13.0
2020-03-22,7.0,0.0,12.0
2020-03-29,12.0,0.0,12.0
2020-04-05,6.0,0.0,12.0
2020-04-12,8.0,0.0,12.0
2020-04-19,8.0,0.0,12.0
2020-04-26,6.0,0.0,12.0
2020-05-03,1.0,0.0,12.0
2020-05-10,6.0,0.0,12.0
2020-05-17,7.0,0.0,12.0
2020-05-24,6.0,0.0,12.0
2020-05-31,8.0,0.0,12.0
2020-06-07,4.0,0.0,12.0
2020-06-14,6.0,0.0,12.0
2020-06-21,1.0,0.0,12.0
2020-06-28,7.0,0.0,12.0
2020-07-05,5.0,0.0,12.0
2020-07-12,5.0,0.0,12.0
2020-07-19,7.0,0.0,12.0
2020-07-26,3.0,0.0,12.0
2020-08-02,5.0,0.0,12.0
2020-08-09,6.0,0.0,12.0
2020-08-16,5.0,0.0,12.0
2020-08-23,6.0,0.0,12.0
2020-08-30,6.0,0.0,12.0
2020-09-06,7.0,0.0,12.0
2020-09-13,9.0,0.0,11.0
2020-09-20,8.0,0.0,11.0
2020-09-27,4.0,0.0,11.0
2020-10-04,9.0,0.0,11.0
2020-10-11,6.0,0.0,11.0
2020-10-18,5.0,0.0,11.0
2020-10-25,8.0,0.0,11.0
2020-11-01,5.0,0.0,11.0
2020-11-08,3.0,0.0,12.0
2020-11-15,3.0,0.0,12.0
2020-11-22,5.0,0.0,12.0
2020-11-29,4.0,0.0,12.0
2020-12-06,7.0,0.0,12.0
2020-12-13,5.0,0.0,12.0
2020-12-20,7.0,0.0,12.0
2020-12-27,8.0,0.0,12.0
2021-01-03,3.0,0.0,12.0
2021-01-10,9.0,0.0,14.0
2021-01-17,5.0,0.0,14.0
2021-01-24,9.0,0.0,14.0
2021-01-31,6.0,0.0,14.0
2021-02-07,5.0,0.0,14.0
2021-02-14,8.0,0.0,13.0
2021-02-21,5.0,0.0,13.0
2021-02-28,4.0,0.0,13.0
2021-03-07,10.0,0.0,13.0
2021-03-14,5.0,0.0,13.0
2021-03-21,3.0,0.0,13.0
2021-03-28,5.0,0.0,12.0
2021-04-04,8.0,0.0,12.0
2021-04-11,11.0,0.0,12.0
2021-04-18,12.0,0.0,12.0
2021-04-25,10.0,0.0,12.0
2021-05-02,9.0,0.0,12.0
2021-05-09,7.0,0.0,12.0
2021-05-16,5.0,0.0,12.0
2021-05-23,8.0,0.0,12.0
2021-05-30,7.0,0.0,12.0
2021-06-06,7.0,0.0,12.0
2021-06-13,7.0,0.0,12.0
2021-06-20,6.0,0.0,12.0
2021-06-27,9.0,0.0,12.0
2021-07-04,3.0,0.0,12.0
2021-07-11,3.0,0.0,12.0
2021-07-18,4.0,0.0,12.0
2021-07-25,9.0,0.0,12.0
2021-08-01,4.0,0.0,12.0
2021-08-08,5.0,0.0,12.0
2021-08-15,8.0,0.0,12.0
2021-08-22,5.0,0.0,12.0
2021-08-29,6.0,0.0,12.0
2021-09-05,5.0,0.0,12.0
2021-09-12,8.0,0.0,12.0
2021-09-19,5.0,0.0,11.0
2021-09-26,4.0,0.0,11.0
2021-10-03,8.0,0.0,11.0
2021-10-10,9.0,0.0,11.0
2021-10-17,8.0,0.0,11.0
2021-10-24,7.0,0.0,11.0
2021-10-31,4.0,0.0,11.0
2021-11-07,3.0,0.0,11.0
2021-11-14,10.0,0.0,12.0
2021-11-21,3.0,0.0,12.0
2021-11-28,11.0,0.0,12.0
2021-12-05,8.0,0.0,12.0
2021-12-12,6.0,0.0,12.0
2021-12-19,5.0,0.0,12.0
2021-12-26,5.0,0.0,12.0
2022-01-02,8.0,0.0,12.0
2022-01-09,3.1,1.0,15.0
2022-01-16,5.4,1.0,15.0
2022-01-23,9.9,1.0,15.0
2022-01-30,5.6,1.0,15.0
2022-02-06,5.8,1.0,15.0
