endend,Todesfälle,untGrenze,obeGrenze
2020-01-05,14.0,1.0,16.0
2020-01-12,4.0,1.0,16.0
2020-01-19,6.0,1.0,16.0
2020-01-26,13.0,1.0,16.0
2020-02-02,4.0,1.0,16.0
2020-02-09,8.0,1.0,16.0
2020-02-16,9.0,1.0,16.0
2020-02-23,5.0,1.0,16.0
2020-03-01,6.0,1.0,15.0
2020-03-08,6.0,1.0,15.0
2020-03-15,7.0,1.0,15.0
2020-03-22,8.0,1.0,15.0
2020-03-29,13.0,1.0,15.0
2020-04-05,10.0,1.0,15.0
2020-04-12,11.0,1.0,15.0
2020-04-19,5.0,1.0,15.0
2020-04-26,8.0,1.0,15.0
2020-05-03,9.0,1.0,15.0
2020-05-10,6.0,1.0,15.0
2020-05-17,9.0,1.0,15.0
2020-05-24,7.0,1.0,15.0
2020-05-31,7.0,1.0,15.0
2020-06-07,8.0,0.0,15.0
2020-06-14,8.0,0.0,15.0
2020-06-21,5.0,0.0,15.0
2020-06-28,7.0,0.0,15.0
2020-07-05,2.0,0.0,15.0
2020-07-12,8.0,0.0,15.0
2020-07-19,7.0,0.0,15.0
2020-07-26,8.0,0.0,15.0
2020-08-02,6.0,0.0,15.0
2020-08-09,5.0,0.0,15.0
2020-08-16,7.0,0.0,15.0
2020-08-23,6.0,0.0,15.0
2020-08-30,7.0,0.0,15.0
2020-09-06,7.0,0.0,15.0
2020-09-13,12.0,0.0,15.0
2020-09-20,4.0,0.0,15.0
2020-09-27,8.0,0.0,15.0
2020-10-04,6.0,0.0,15.0
2020-10-11,7.0,0.0,15.0
2020-10-18,10.0,0.0,15.0
2020-10-25,7.0,0.0,15.0
2020-11-01,8.0,0.0,15.0
2020-11-08,10.0,0.0,15.0
2020-11-15,10.0,0.0,15.0
2020-11-22,9.0,0.0,15.0
2020-11-29,8.0,0.0,15.0
2020-12-06,12.0,0.0,15.0
2020-12-13,10.0,0.0,15.0
2020-12-20,10.0,0.0,15.0
2020-12-27,8.0,0.0,15.0
2021-01-03,17.0,0.0,15.0
2021-01-10,3.0,1.0,16.0
2021-01-17,10.0,1.0,16.0
2021-01-24,13.0,1.0,16.0
2021-01-31,5.0,1.0,16.0
2021-02-07,11.0,1.0,16.0
2021-02-14,7.0,1.0,16.0
2021-02-21,7.0,1.0,16.0
2021-02-28,8.0,1.0,16.0
2021-03-07,6.0,1.0,15.0
2021-03-14,13.0,1.0,15.0
2021-03-21,7.0,1.0,15.0
2021-03-28,6.0,1.0,15.0
2021-04-04,6.0,1.0,15.0
2021-04-11,5.0,1.0,15.0
2021-04-18,5.0,1.0,15.0
2021-04-25,10.0,1.0,15.0
2021-05-02,11.0,1.0,15.0
2021-05-09,9.0,1.0,15.0
2021-05-16,4.0,1.0,15.0
2021-05-23,8.0,1.0,15.0
2021-05-30,8.0,1.0,15.0
2021-06-06,11.0,1.0,15.0
2021-06-13,7.0,0.0,15.0
2021-06-20,7.0,0.0,15.0
2021-06-27,11.0,0.0,15.0
2021-07-04,5.0,0.0,15.0
2021-07-11,8.0,0.0,15.0
2021-07-18,6.0,0.0,15.0
2021-07-25,4.0,0.0,15.0
2021-08-01,1.0,0.0,15.0
2021-08-08,8.0,0.0,15.0
2021-08-15,13.0,0.0,15.0
2021-08-22,3.0,0.0,15.0
2021-08-29,7.0,0.0,15.0
2021-09-05,1.0,0.0,15.0
2021-09-12,9.0,0.0,15.0
2021-09-19,5.0,0.0,15.0
2021-09-26,10.0,0.0,15.0
2021-10-03,7.0,0.0,15.0
2021-10-10,9.0,0.0,15.0
2021-10-17,7.0,0.0,15.0
2021-10-24,7.0,0.0,15.0
2021-10-31,9.0,0.0,15.0
2021-11-07,9.0,0.0,15.0
2021-11-14,8.0,0.0,15.0
2021-11-21,6.0,0.0,15.0
2021-11-28,9.0,0.0,15.0
2021-12-05,4.0,0.0,15.0
2021-12-12,3.0,0.0,15.0
2021-12-19,13.6,0.0,15.0
2021-12-26,9.5,0.0,15.0
2022-01-02,8.6,0.0,15.0
2022-01-09,2.4,2.0,17.0
2022-01-16,,2.0,17.0
2022-01-23,,2.0,17.0
2022-01-30,,2.0,16.0
2022-02-06,,2.0,16.0
2022-02-13,,2.0,16.0
2022-02-20,,2.0,16.0
2022-02-27,,2.0,16.0
2022-03-06,,2.0,16.0
2022-03-13,,2.0,16.0
2022-03-20,,2.0,16.0
2022-03-27,,2.0,16.0
2022-04-03,,2.0,16.0
2022-04-10,,2.0,16.0
2022-04-17,,2.0,16.0
2022-04-24,,2.0,15.0
2022-05-01,,2.0,15.0
2022-05-08,,2.0,15.0
2022-05-15,,1.0,15.0
2022-05-22,,1.0,15.0
2022-05-29,,1.0,15.0
2022-06-05,,1.0,15.0
2022-06-12,,1.0,15.0
2022-06-19,,1.0,15.0
2022-06-26,,1.0,15.0
2022-07-03,,1.0,15.0
2022-07-10,,1.0,15.0
2022-07-17,,1.0,15.0
2022-07-24,,1.0,15.0
2022-07-31,,1.0,15.0
2022-08-07,,1.0,15.0
2022-08-14,,1.0,15.0
2022-08-21,,1.0,15.0
2022-08-28,,1.0,15.0
2022-09-04,,1.0,15.0
2022-09-11,,1.0,15.0
2022-09-18,,1.0,15.0
2022-09-25,,1.0,15.0
2022-10-02,,1.0,15.0
2022-10-09,,1.0,15.0
2022-10-16,,1.0,15.0
2022-10-23,,1.0,15.0
2022-10-30,,1.0,15.0
2022-11-06,,1.0,15.0
2022-11-13,,2.0,15.0
2022-11-20,,2.0,15.0
